close,high,low,open,date,volume
56146.43095,57146.56604,54346.02642,55608.20749,2021-02-20T00:00:00Z,85808656239
57179.91585,58060.40849,55243.00264,56566.40593,2021-02-21T00:00:00Z,71463988713
53795.05238,57140.68235,48442.1392,56858.16054,2021-02-22T00:00:00Z,1.13E+11
49115.40427,53847.88217,45750.3119,53570.63399,2021-02-23T00:00:00Z,1.28E+11
49893.72487,51454.16248,47344.39127,49491.5444,2021-02-24T00:00:00Z,82977589382
47978.95078,51769.87141,47049.98474,49753.76795,2021-02-25T00:00:00Z,70433343985
46646.25981,48752.34287,44526.18319,47684.08433,2021-02-26T00:00:00Z,84349045342
46251.19673,48226.49163,45293.22713,46780.77755,2021-02-27T00:00:00Z,60310649093
45216.0566,46856.10682,43595.62405,46097.81791,2021-02-28T00:00:00Z,68412330346
49494.77166,49632.65835,45346.59409,45535.21665,2021-03-01T00:00:00Z,69828537819
48776.03027,50157.66079,47544.59349,49426.47225,2021-03-02T00:00:00Z,61943618641
50478.78984,52364.67507,48326.62519,48909.65949,2021-03-03T00:00:00Z,66496411191
48759.61065,51605.78406,48008.84363,50475.40979,2021-03-04T00:00:00Z,69412693537
48700.92466,49541.16797,46721.35765,48631.04727,2021-03-05T00:00:00Z,64213487020
48715.3644,49261.17226,47856.544,49076.09381,2021-03-06T00:00:00Z,47835518103
50861.03417,51227.80936,48944.63895,48944.63895,2021-03-07T00:00:00Z,52172243614
52356.6949,52481.46991,50065.95442,51370.95521,2021-03-08T00:00:00Z,62396896799
54510.83661,54510.83661,52001.18318,52258.88739,2021-03-09T00:00:00Z,65135795394
55937.77454,56801.2218,53389.62334,54632.27096,2021-03-10T00:00:00Z,72167485645
57461.14664,57739.94629,54674.94443,56049.48011,2021-03-11T00:00:00Z,73850361665
57579.14882,58187.01121,55660.99739,57521.27977,2021-03-12T00:00:00Z,73779986825
60766.59516,61308.85046,56671.80944,57589.07814,2021-03-13T00:00:00Z,73536860271
59093.11502,61477.32611,58868.13497,60640.3957,2021-03-14T00:00:00Z,59462228036
56003.80815,60403.32314,55153.63285,59121.06156,2021-03-15T00:00:00Z,81012040538
56667.20975,56921.03743,53860.97716,55977.67935,2021-03-16T00:00:00Z,76687419935
58359.06954,58359.06954,55483.78021,56784.0752,2021-03-17T00:00:00Z,73272844400
58033.11219,59190.83385,57328.21359,58132.66871,2021-03-18T00:00:00Z,67691332771
58341.49927,59234.07927,57342.71999,58346.55249,2021-03-19T00:00:00Z,62241350800
58661.72117,59427.12176,58339.67147,58629.0611,2021-03-20T00:00:00Z,68723940166
58161.63544,58973.85241,56958.18763,58857.88034,2021-03-21T00:00:00Z,64619990175
54434.58197,57222.20537,54370.1841,56611.46571,2021-03-22T00:00:00Z,70862408800
55655.11871,55843.42763,53772.07726,55083.24982,2021-03-23T00:00:00Z,46408703826
